#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1466	4221	ENTREZ_GENE	MEN1	MEAI|SCG2	9606	Homo sapiens	-9.022	3.29577012	-	-	-	YES	BioGRID ORCS
1466	23512	ENTREZ_GENE	SUZ12	CHET9|JJAZ1|KIAA0160	9606	Homo sapiens	-6.563	1.18647731	-	-	-	YES	BioGRID ORCS
1466	11168	ENTREZ_GENE	PSIP1	DFS70|LEDGF|PAIP|PSIP2|p52|p75	9606	Homo sapiens	-6.351	3.21358484	-	-	-	YES	BioGRID ORCS
1466	8726	ENTREZ_GENE	EED	HEED|WAIT1|WAIT-1	9606	Homo sapiens	-6.21	2.01316499	-	-	-	YES	BioGRID ORCS
1466	2235	ENTREZ_GENE	FECH	EPP|FCE	9606	Homo sapiens	-5.481	2.11863203	-	-	-	YES	BioGRID ORCS
1466	22823	ENTREZ_GENE	MTF2	M96|PCL2|TDRD19A|dJ976O13.2	9606	Homo sapiens	-5.405	2.99276302	-	-	-	YES	BioGRID ORCS
1466	4004	ENTREZ_GENE	LMO1	RBTN1|RHOM1|TTG1	9606	Homo sapiens	-5.207	1.87874889	-	-	-	YES	BioGRID ORCS
1466	23347	ENTREZ_GENE	SMCHD1	BAMS|FSHD2|KIAA0650	9606	Homo sapiens	-4.825	2.31433731	-	-	-	YES	BioGRID ORCS
1466	337U	UNKNOWN	AL121761.2	-	9606	Homo sapiens	-4.422	2.30772406	-	-	-	YES	BioGRID ORCS
1466	84759	ENTREZ_GENE	PCGF1	2010002K04Rik|NSPC1|RNF3A-2|RNF68	9606	Homo sapiens	-4.358	1.77680657	-	-	-	YES	BioGRID ORCS
1466	91607	ENTREZ_GENE	SLFN11	SLFN8/9|FLJ34922	9606	Homo sapiens	-4.307	2.0577638	-	-	-	YES	BioGRID ORCS
1466	4155	ENTREZ_GENE	MBP	-	9606	Homo sapiens	-4.222	1.38452937	-	-	-	YES	BioGRID ORCS
1466	54906	ENTREZ_GENE	FAM208B	C10orf18|bA318E3.2|KIAA2006|FLJ20360	9606	Homo sapiens	-4.057	2.45693498	-	-	-	YES	BioGRID ORCS
1466	116039	ENTREZ_GENE	OSR2	FLJ90037	9606	Homo sapiens	-4.038	3.58542583	-	-	-	YES	BioGRID ORCS
1466	79613	ENTREZ_GENE	TANGO6	TMCO7|KIAA1746|FLJ12688	9606	Homo sapiens	-3.861	3.55094059	-	-	-	YES	BioGRID ORCS
1466	390874	ENTREZ_GENE	ONECUT3	OC3	9606	Homo sapiens	-3.856	1.99011357	-	-	-	YES	BioGRID ORCS
1466	375346	ENTREZ_GENE	TMEM110	STIMATE	9606	Homo sapiens	-3.737	3.53667617	-	-	-	YES	BioGRID ORCS
1466	51042	ENTREZ_GENE	ZNF593	ZT86	9606	Homo sapiens	-3.64	3.5190475	-	-	-	YES	BioGRID ORCS
1466	55051	ENTREZ_GENE	NRDE2	C14orf102|FLJ14051	9606	Homo sapiens	-3.582	1.91447987	-	-	-	YES	BioGRID ORCS
1466	9761	ENTREZ_GENE	MLEC	KIAA0152	9606	Homo sapiens	-3.56	3.48721071	-	-	-	YES	BioGRID ORCS
1466	317719	ENTREZ_GENE	KLHL10	SPGF11|FLJ32662	9606	Homo sapiens	-3.494	3.47228333	-	-	-	YES	BioGRID ORCS
1466	400757	ENTREZ_GENE	C1orf141	-	9606	Homo sapiens	-3.436	3.47119768	-	-	-	YES	BioGRID ORCS
1466	23460	ENTREZ_GENE	ABCA6	EST155051	9606	Homo sapiens	-3.403	1.99050908	-	-	-	YES	BioGRID ORCS
1466	55530	ENTREZ_GENE	SVOP	DKFZp761H039	9606	Homo sapiens	-3.384	3.46792848	-	-	-	YES	BioGRID ORCS
1466	55652	ENTREZ_GENE	SLC48A1	HRG-1|HRG1|hHRG-1|FLJ20489	9606	Homo sapiens	-3.339	3.42687744	-	-	-	YES	BioGRID ORCS
1466	374879	ENTREZ_GENE	ZNF699	hang|FLJ38144	9606	Homo sapiens	-3.297	3.42244086	-	-	-	YES	BioGRID ORCS
1466	83656	ENTREZ_GENE	FAM167A-AS1	C8orf12	9606	Homo sapiens	-3.263	2.06153765	-	-	-	YES	BioGRID ORCS
1466	2157	ENTREZ_GENE	F8	AHF|DXS1253E|F8B|F8C|FVIII|HEMA	9606	Homo sapiens	-3.26	2.3057431	-	-	-	YES	BioGRID ORCS
1466	642987	ENTREZ_GENE	TMEM232	FLJ43080	9606	Homo sapiens	-3.259	3.41459247	-	-	-	YES	BioGRID ORCS
1466	7456	ENTREZ_GENE	WIPF1	PRPL-2|WAS2|WASPIP|WIP	9606	Homo sapiens	-3.249	1.82260664	-	-	-	YES	BioGRID ORCS
1466	64419	ENTREZ_GENE	MTMR14	C3orf29|FLJ22405|hJumpy|FLJ90311|hEDTP	9606	Homo sapiens	-3.235	2.25502977	-	-	-	YES	BioGRID ORCS
1466	348094	ENTREZ_GENE	ANKDD1A	FLJ25870	9606	Homo sapiens	-3.233	2.33344154	-	-	-	YES	BioGRID ORCS
1466	7514	ENTREZ_GENE	XPO1	CRM1|emb|exp1	9606	Homo sapiens	-3.225	3.41024757	-	-	-	YES	BioGRID ORCS
1466	29123	ENTREZ_GENE	ANKRD11	ANCO-1|ANCO1|LZ16|T13	9606	Homo sapiens	-3.193	3.40974981	-	-	-	YES	BioGRID ORCS
1466	120	ENTREZ_GENE	ADD3	ADDL|CPSQ3	9606	Homo sapiens	-3.185	1.64263736	-	-	-	YES	BioGRID ORCS
